"타임스탬프","학년 ","거주 형태  ","학생식당 이용 빈도 ","학생식당을 이용하지 않거나 덜 이용하는 가장 큰 이유 ","줄이 길거나 품절이라서 식사를 포기한 경험이 있나요  ","학생식당 가기 전에 가장 알고 싶은 정보  ","혼잡도/잔여 수량/예상 대기시간 정보가 제공되면 이용 판단에 도움이 되나요  ","학생식당이 가장 먼저 개선되어야 할 점 1가지를 적어주세요 "
"2026/04/25 7:26:25 오후 GMT+9","2학년","하숙/자취","주 2~3회","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","학생 선호 메뉴 정보","보통이다","음식 퀄리티요"
"2026/04/25 7:30:39 오후 GMT+9","2학년","하숙/자취","거의 이용하지 않음","메뉴가 다양하지 않아서;위치/이동이 불편해서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","가끔 있다","학생 선호 메뉴 정보","매우 그렇다","가격대비 퀄리티"
"2026/04/25 7:31:44 오후 GMT+9","1학년","기숙사","거의 이용하지 않음","대기시간이 길어서;메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","자주 있다","현재 혼잡도","그렇다","맛"
"2026/04/25 7:32:47 오후 GMT+9","2학년","하숙/자취","거의 이용하지 않음","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","남은 수량","그렇다","메뉴 퀄리티가 가격에 비해 낮음"
"2026/04/25 7:38:59 오후 GMT+9","4학년","통학","주 4회 이상","대기시간이 길어서;메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;위치/이동이 불편해서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","자주 있다","남은 수량","매우 그렇다","식당에서 남은 음식 수량이 몇개남았는지 키오스크에 표시되었으면 바랍니다!"
"2026/04/25 7:45:41 오후 GMT+9","1학년","기숙사","주 1회 이하","외부 식당이 더 나아서;기타","가끔 있다","예상 대기시간","매우 그렇다","사람이 얼마나 많은지 알 수 없어서 학식을 먹고 수업을 가기 애매할 때가 잇어 예상 대기 시간을 볼 수 있었으면 좋겠다"
"2026/04/25 7:46:54 오후 GMT+9","3학년","통학","주 1회 이하","대기시간이 길어서;좌석/식사 환경이 불편해서","가끔 있다","현재 혼잡도","그렇다",""
"2026/04/25 7:49:19 오후 GMT+9","3학년","기숙사","주 4회 이상","대기시간이 길어서;메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서","자주 있다","남은 수량","그렇다","배식 대기할 때 가방 두는 얌체족들 척결부터 필요합니다.
그러지 않는 사람들이 멍청해서 그런 것도 아니고, 남을 배려하서 하는 행동인데 이기적인 사람들 때문에 순환이 안 돼요"
"2026/04/25 7:51:01 오후 GMT+9","1학년","기숙사","거의 이용하지 않음","대기시간이 길어서;남은 수량/품절 여부를 몰라서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서","가끔 있다","오늘 메뉴","그렇다","자리"
"2026/04/25 7:56:43 오후 GMT+9","3학년","기숙사","주 4회 이상","외부 식당이 더 나아서","가끔 있다","현재 혼잡도","그렇다","식단 돌려막기, 양늘리려고 전분 많이 쓰는것
스프-->이 새끼 개병신임 스프좀 바꿔라
"
"2026/04/25 7:59:18 오후 GMT+9","4학년","하숙/자취","주 1회 이하","메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;위치/이동이 불편해서","가끔 있다","남은 수량","그렇다","부실한 반찬"
"2026/04/25 8:01:19 오후 GMT+9","2학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;남은 수량/품절 여부를 몰라서;외부 식당이 더 나아서","가끔 있다","남은 수량","그렇다","내부 좌석 증원"
"2026/04/25 8:02:04 오후 GMT+9","1학년","기숙사","주 4회 이상","가격 대비 만족도가 낮아서","거의 없다","예상 대기시간","그렇다","맛"
"2026/04/25 8:03:49 오후 GMT+9","4학년","하숙/자취","주 2~3회","위치/이동이 불편해서","가끔 있다","오늘 메뉴","보통이다","혼잡 시간 미리 자리 맡기"
"2026/04/25 8:03:52 오후 GMT+9","1학년","기숙사","주 1회 이하","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서","전혀 없다","학생 선호 메뉴 정보","그렇다","가경을 조금 올리더라도 고등학교보단 더 맛있는게 나오는게 맞는거 아닌가 싶어요 퀼리티가 많이 올라갔으면 좋겠다"
"2026/04/25 8:10:07 오후 GMT+9","1학년","기숙사","주 4회 이상","대기시간이 길어서","가끔 있다","현재 혼잡도","매우 그렇다",""
"2026/04/25 8:14:38 오후 GMT+9","2학년","기숙사","거의 이용하지 않음","가격 대비 만족도가 낮아서;외부 식당이 더 나아서","자주 있다","예상 대기시간","그렇다",""
"2026/04/25 8:15:49 오후 GMT+9","1학년","기숙사","주 1회 이하","남은 수량/품절 여부를 몰라서","가끔 있다","예상 대기시간","매우 그렇다",""
"2026/04/25 8:16:49 오후 GMT+9","2학년","기숙사","주 4회 이상","남은 수량/품절 여부를 몰라서","가끔 있다","남은 수량","매우 그렇다","수량이 남았음에도 조기 판매종료 문제개선"
"2026/04/25 8:16:53 오후 GMT+9","2학년","하숙/자취","주 2~3회","대기시간이 길어서;좌석/식사 환경이 불편해서","자주 있다","예상 대기시간","아니다","자리"
"2026/04/25 8:29:03 오후 GMT+9","1학년","기숙사","거의 이용하지 않음","메뉴가 다양하지 않아서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","가끔 있다","남은 수량","매우 그렇다","식당이 좁음"
"2026/04/25 8:35:42 오후 GMT+9","1학년","하숙/자취","주 1회 이하","가격 대비 만족도가 낮아서","전혀 없다","학생 선호 메뉴 정보","매우 그렇다","맛."
"2026/04/25 8:52:01 오후 GMT+9","2학년","기숙사","주 4회 이상","외부 식당이 더 나아서","가끔 있다","현재 혼잡도","그렇다",""
"2026/04/25 8:53:49 오후 GMT+9","1학년","기숙사","주 1회 이하","대기시간이 길어서;메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;위치/이동이 불편해서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","그렇다",""
"2026/04/25 9:02:13 오후 GMT+9","1학년","기숙사","주 2~3회","가격 대비 만족도가 낮아서","가끔 있다","현재 혼잡도","그렇다",""
"2026/04/25 9:02:57 오후 GMT+9","1학년","기숙사","주 4회 이상","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","매우 그렇다","메뉴의 다양성"
"2026/04/25 9:06:05 오후 GMT+9","3학년","하숙/자취","주 2~3회","메뉴가 다양하지 않아서;좌석/식사 환경이 불편해서","가끔 있다","학생 선호 메뉴 정보","매우 그렇다","한식 메뉴 다양화"
"2026/04/25 9:08:08 오후 GMT+9","2학년","하숙/자취","주 4회 이상","메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;위치/이동이 불편해서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","자주 있다","학생 선호 메뉴 정보","그렇다",""
"2026/04/25 9:09:46 오후 GMT+9","2학년","기숙사","주 4회 이상","메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;좌석/식사 환경이 불편해서","자주 있다","남은 수량","매우 그렇다","학식 메뉴나 질이 개선 되었으면 합니다"
"2026/04/25 9:15:47 오후 GMT+9","1학년","기숙사","거의 이용하지 않음","기타","자주 있다","소진 예상 시간","그렇다","직원 서비스가 별로예요."
"2026/04/25 9:23:29 오후 GMT+9","1학년","기숙사","주 2~3회","대기시간이 길어서;가격 대비 만족도가 낮아서","가끔 있다","오늘 메뉴","보통이다","음식 메뉴가 더 다양하면 좋겠다"
"2026/04/25 9:28:27 오후 GMT+9","1학년","기숙사","주 4회 이상","좌석/식사 환경이 불편해서","거의 없다","현재 혼잡도","매우 그렇다","갯수가 정해져 있으면 말좀 해주세요 누가 만두3갸 조그만걸로 주메뉴거 되나여 "
"2026/04/25 9:30:02 오후 GMT+9","1학년;2학년","하숙/자취","거의 이용하지 않음","위치/이동이 불편해서","가끔 있다","현재 혼잡도","그렇다","너무 멀어요"
"2026/04/25 9:41:29 오후 GMT+9","1학년","통학","주 2~3회","대기시간이 길어서;기타","가끔 있다","현재 혼잡도","매우 그렇다","너무 좁음 샤갈 자리 없어서 걍 간 적 있음"
"2026/04/25 9:42:55 오후 GMT+9","1학년","통학","거의 이용하지 않음","대기시간이 길어서;메뉴가 다양하지 않아서;위치/이동이 불편해서;외부 식당이 더 나아서","자주 있다","현재 혼잡도","매우 그렇다",""
"2026/04/25 9:43:54 오후 GMT+9","1학년","기숙사","주 1회 이하","위치/이동이 불편해서","전혀 없다","현재 혼잡도","매우 그렇다",""
"2026/04/25 9:46:32 오후 GMT+9","1학년","기숙사","주 2~3회","메뉴가 다양하지 않아서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","매우 그렇다",""
"2026/04/25 9:54:55 오후 GMT+9","1학년","하숙/자취","주 4회 이상","대기시간이 길어서","자주 있다","예상 대기시간","매우 그렇다","일품 학식에 국이나 음료 관련 사이드가 있으면 좋겠습니다  한식을 즐겨먹는 편이긴하지만 간간히 일품 학식을 먹는데 메인 하나만 나오는 경우가 잦은 거 같습니다 물론 메인 음식도 맛있고 일품 음식이 그렇게 나오는 데에는 다 이유가 있다고 생각합니다 하지만 제 의견이 너무 무리한 부탁이 아니라면 한번 검토해 주시면 감사하겠습니다"
"2026/04/25 10:08:31 오후 GMT+9","1학년","통학","주 2~3회","대기시간이 길어서;메뉴가 다양하지 않아서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","매우 그렇다",""
"2026/04/25 10:24:26 오후 GMT+9","2학년","기숙사","거의 이용하지 않음","메뉴가 다양하지 않아서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","가끔 있다","오늘 메뉴","매우 그렇다","솔직히 다른 것도 다른 건데 식판이 더러울 때가 가끔 있어요. 밥풀이나 양념 조금씩 묻어있는 거 보면 기본이라도 지켰으면..."
"2026/04/25 10:26:52 오후 GMT+9","2학년","기숙사","주 4회 이상","남은 수량/품절 여부를 몰라서","전혀 없다","현재 혼잡도","그렇다",""
"2026/04/25 10:28:43 오후 GMT+9","4학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;메뉴가 다양하지 않아서;위치/이동이 불편해서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","가끔 있다","오늘 메뉴","그렇다","메뉴"
"2026/04/25 10:39:37 오후 GMT+9","2학년","기숙사","주 4회 이상","가격 대비 만족도가 낮아서","가끔 있다","현재 혼잡도","매우 그렇다","볶음밥은 한번도 예외없이 모두 퍽퍽하고 맛이 없음"
"2026/04/25 10:43:44 오후 GMT+9","1학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;위치/이동이 불편해서","가끔 있다","현재 혼잡도","매우 그렇다",""
"2026/04/25 10:46:25 오후 GMT+9","2학년","기숙사","주 1회 이하","가격 대비 만족도가 낮아서","자주 있다","남은 수량","매우 그렇다",""
"2026/04/25 10:53:33 오후 GMT+9","4학년","기숙사","주 2~3회","대기시간이 길어서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","오늘 메뉴","그렇다","퀄리티 개선(스프맛 에바), 나영이랑 비교했을때 가격 비쌈"
"2026/04/25 10:54:13 오후 GMT+9","1학년","기숙사","주 1회 이하","대기시간이 길어서;남은 수량/품절 여부를 몰라서;위치/이동이 불편해서;좌석/식사 환경이 불편해서;외부 식당이 더 나아서","자주 있다","예상 대기시간","매우 그렇다","사람이 많아서 음식 주문까지 가는 시간이 오래걸리고 키오스크가 가끔 고장나 작동이 되지 않을 때가 있으며 사람이 많을 때 줄이 섞여 혼잡하다."
"2026/04/25 11:07:38 오후 GMT+9","1학년","기숙사","주 2~3회","외부 식당이 더 나아서","가끔 있다","학생 선호 메뉴 정보","보통이다","맛"
"2026/04/25 11:12:53 오후 GMT+9","1학년","기숙사","주 4회 이상","대기시간이 길어서;메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","자주 있다","현재 혼잡도","매우 그렇다","저녁에도 일품 먹을수있게 해주세요 그리고 일품 퀄리티 개선부탁드려요"
"2026/04/25 11:16:03 오후 GMT+9","3학년","하숙/자취","주 2~3회","메뉴가 다양하지 않아서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","매우 그렇다","육개장인데 육개장이 없고 계란만 있다거나 일품에는 돈까스가 고기가 두툼하지 않고 식당에서 파는 것보다 반절 이상 얇습니다. 솔짇히 삥탕치는 듯"
"2026/04/25 11:36:09 오후 GMT+9","4학년","통학","주 2~3회","메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서","가끔 있다","예상 대기시간","보통이다",""
"2026/04/26 12:21:11 오전 GMT+9","1학년","기숙사","주 2~3회","대기시간이 길어서;메뉴가 다양하지 않아서","거의 없다","현재 혼잡도","매우 그렇다",""
"2026/04/26 12:21:51 오전 GMT+9","2학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;메뉴가 다양하지 않아서;위치/이동이 불편해서;가격 대비 만족도가 낮아서","자주 있다","오늘 메뉴","매우 그렇다",""
"2026/04/26 12:25:49 오전 GMT+9","2학년","하숙/자취","주 4회 이상","위치/이동이 불편해서;가격 대비 만족도가 낮아서","자주 있다","예상 대기시간","매우 그렇다","일품 가격 너무 비싸요 흐규흐규규ㅠㅠㅠ"
"2026/04/26 12:31:54 오전 GMT+9","1학년","기숙사","거의 이용하지 않음","가격 대비 만족도가 낮아서","전혀 없다","오늘 메뉴","그렇다",""
"2026/04/26 12:40:26 오전 GMT+9","1학년","기숙사","주 2~3회","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","거의 없다","학생 선호 메뉴 정보","매우 그렇다","음식 퀄리티"
"2026/04/26 12:55:21 오전 GMT+9","1학년","기숙사","주 2~3회","대기시간이 길어서;메뉴가 다양하지 않아서","가끔 있다","예상 대기시간","그렇다","대기시간"
"2026/04/26 1:30:39 오전 GMT+9","2학년","기숙사","주 2~3회","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","매우 그렇다","좌석 추가, 메뉴의 맛과 질 개선"
"2026/04/26 1:44:07 오전 GMT+9","1학년","기숙사","거의 이용하지 않음","대기시간이 길어서;메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","예상 대기시간","매우 그렇다",""
"2026/04/26 1:46:15 오전 GMT+9","1학년","기숙사","주 4회 이상","위치/이동이 불편해서","거의 없다","현재 혼잡도","매우 그렇다","점심시간때 사람이 너무 많아서 자리를 찾느라 계속 돌아다닌 적이 있습니다.. 이 부분이 개선되면 쾌적하고 학식 만족도가 올라갈 것 같습니다!"
"2026/04/26 1:49:45 오전 GMT+9","2학년;3학년","기숙사","주 1회 이하","메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","자주 있다","오늘 메뉴","아니다","맛대가리가 존나게 없다 ㅆㅂ 저딴거 5천원 주고 먹자니 우울증 온다 존나"
"2026/04/26 3:20:05 오전 GMT+9","2학년","통학","주 2~3회","남은 수량/품절 여부를 몰라서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","남은 수량","매우 그렇다","가격에 비해 질낮음"
"2026/04/26 3:35:26 오전 GMT+9","4학년","하숙/자취","주 1회 이하","남은 수량/품절 여부를 몰라서;위치/이동이 불편해서;가격 대비 만족도가 낮아서","자주 있다","남은 수량","매우 그렇다","맛.."
"2026/04/26 5:54:20 오전 GMT+9","1학년","기숙사","거의 이용하지 않음","메뉴가 다양하지 않아서;남은 수량/품절 여부를 몰라서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","현재 혼잡도","그렇다","식대 비해서 너무 부실함 "
"2026/04/26 6:44:27 오전 GMT+9","3학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;위치/이동이 불편해서;외부 식당이 더 나아서","가끔 있다","예상 대기시간","매우 그렇다","편의성"
"2026/04/26 7:00:30 오전 GMT+9","3학년","하숙/자취","거의 이용하지 않음","메뉴가 다양하지 않아서;위치/이동이 불편해서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","오늘 메뉴","그렇다","음식 돌려막기 그만 "
"2026/04/26 9:05:32 오전 GMT+9","1학년","기숙사","주 2~3회","대기시간이 길어서;메뉴가 다양하지 않아서;가격 대비 만족도가 낮아서","가끔 있다","현재 혼잡도","그렇다","맛이 너무 없어여.."
"2026/04/26 9:35:27 오전 GMT+9","4학년","하숙/자취","거의 이용하지 않음","대기시간이 길어서;가격 대비 만족도가 낮아서;외부 식당이 더 나아서","가끔 있다","예상 대기시간","그렇다",""
"2026/04/26 12:19:14 오후 GMT+9","2학년","통학","거의 이용하지 않음","대기시간이 길어서","자주 있다","예상 대기시간","매우 그렇다","이용 가능시간을 늘려주시면 좋겠어요"
"2026/04/26 1:03:37 오후 GMT+9","4학년","통학","주 2~3회","대기시간이 길어서;메뉴가 다양하지 않아서;위치/이동이 불편해서;가격 대비 만족도가 낮아서;좌석/식사 환경이 불편해서;기타","가끔 있다","현재 혼잡도","매우 그렇다","전체적으로"
"2026/04/26 1:14:28 오후 GMT+9","1학년","기숙사","주 4회 이상","기타","거의 없다","현재 혼잡도","그렇다","자리수"
"2026/04/26 1:21:10 오후 GMT+9","2학년","하숙/자취","거의 이용하지 않음","가격 대비 만족도가 낮아서","가끔 있다","남은 수량","매우 그렇다","맛이… 그냥그래요…"
